age,citizen,unit,sex,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
TOTAL,FOR,NR,M,HR	2702 	2420 	1853 	: 	: 	847 	382 	425 	: 	656 	761 	767 	812 	: 	: 	: 
TOTAL,FOR,NR,M,HU	12029 	11549 	12397 	13312 b	14589 	20972 b	12753 	13156 	14601 	12355 	11242 	10054 	10630 	10246 	10090 	8429 
TOTAL,FOR,NR,M,IE	21818 p	17332 	14438 	15947 	15631 	28574 	47588 	59654 b	49975 	34100 	22000 	21000 	18400 	16275 	13500 	10700 
TOTAL,FOR,NR,M,IS	1911 	1349 	1115 	1173 	1279 b	4540 	6264 	: 	: 	: 	: 	830 	: 	1173 	: 	797 
TOTAL,FOR,NR,M,IT	132401 	155521 	168726 	188850 	182009 p	227864 p	234066 	113524 	130859 	199611 	205728 	80244 	86312 	100826 	78223 	57050 
TOTAL,FOR,NR,M,KG	: 	: 	: 	: 	: 	: 	252 	0 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,M,LI	272 	257 	253 	218 	220 	226 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,M,LT	1981 	1682 	1068 	606 	1030 	2277 	1661 	1460 	1318 	1282 	1941 	2409 	2333 	308 	809 	728 
TOTAL,FOR,NR,M,LU	10647 	10501 	10424 	8584 	7826 	9095 	8445 	7444 	7320 	6821 	6777 	5900 	5924 	5864 	6309 	5741 
TOTAL,FOR,NR,M,LV	2122 	2323 	1937 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	744 	1150 
TOTAL,FOR,NR,M,ME	: 	3030 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,M,MK	: 	541 	504 	: 	: 	266 	260 	447 	607 	329 	: 	388 	: 	: 	: 	: 
TOTAL,FOR,NR,M,MT	4194 	3233 	2274 	1917 	3042 	3235 b	3298 	293 	: 	: 	: 	: 	251 	: 	: 	: 
TOTAL,FOR,NR,M,NL	46455 	41013 	41930 	38666 	37070 b	48500 	40996 	33622 	30319 	30512 	35694 	43605 	49144 	47079 	39889 	41660 
TOTAL,FOR,NR,M,NO	33695 	35129 	35560 	32979 	25938 	29249 b	31772 	20620 	15868 	13583 	: 	14697 	12428 	14753 	: 	13257 
TOTAL,FOR,NR,M,PL	53845 	48136 	31041 	26892 	25365 b	6424 b	694 	875 	521 	540 	273 	142 	205 	232 	250 	779 
TOTAL,FOR,NR,M,PT	2706 	2497 	3756 	4060 	6937 	6267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,M,RO	8752 	7079 	5432 	7916 	6308 	7117 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,M,RU	: 	: 	: 	: 	: 	: 	37988 	8298 	6938 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,M,SE	49668 	42667 	39870 	42112 	43105 	43041 	45270 	42826 	26229 	23362 	23716 	24092 	22047 	21186 	16730 	17427 
TOTAL,FOR,NR,M,SI	7159 	7562 	6536 	8262 	21302 	22244 b	22739 	14725 	10093 	6549 	5535 	5423 	4774 	3888 	2954 	2371 
TOTAL,FOR,NR,M,SK	1669 	1968 b	2493 b	8285 	9274 	11386 	10184 	7372 	5127 	4999 	2795 b	256 	271 	: 	: 	: 
TOTAL,FOR,NR,M,TR	: 	: 	12007 	13845 	9311 	8914 	8436 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,M,UK	221982 	209896 	265784 	278861 	254187 	262947 b	250831 	241707 	222299 	212461 	166182 	147182 	131666 	136651 	: 	: 
TOTAL,FOR,NR,M,US	: 	: 	: 	: 	: 	: 	: 	: 	: 	465903 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,T,AT	92585 	83242 	74119 	62128 	60233 	64902 	64194 	82899 	97995 	104246 	93341 	86144 b	74786 	67882 	72379 	59229 
TOTAL,FOR,NR,T,BA	: 	: 	: 	: 	: 	: 	5620 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,T,BE	100460 	129674 	125927 	116354 b	: 	: 	109926 	101872 	97888 	83960 	78746 	93368 	82228 	62909 	67068 	59666 
TOTAL,FOR,NR,T,BG	13794 p	9125 	: 	: 	: 	87 	60 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,T,BY	: 	: 	: 	: 	: 	: 	: 	12238 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,T,CH	134089 	125035 	124686 b	139429 	138269 	161629 	143855 	107177 	99091 	100834 	98812 	103754 	98163 	84200 	83677 	72202 
TOTAL,FOR,NR,T,CY	11507 	16175 	20956 	18308 	: 	9831 	18064 	14535 	21879 	20243 	14785 	12216 	13866 	11607 	: 	: 
TOTAL,FOR,NR,T,CZ	24798 	27570 	18971 	30050 	53876 	83077 b	102511 	66125 	58576 	50804 	57438 	43648 	11323 	4227 	6810 	: 
